2024-07-27T19:56:51.853Z [info]: This message will be logged to both console and file.
2024-07-27T19:56:51.856Z [info]: This message will be logged only to the file.
2024-07-27T19:56:52.621Z [info]: WalletManager initialized
2024-07-27T19:56:58.720Z [info]: Password correct. Access granted.
2024-07-27T19:57:14.608Z [info]: Generating 80 wallets
2024-07-27T19:57:14.786Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.787Z [info]: New wallet generated: 
2024-07-27T19:57:14.791Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.793Z [info]: New wallet generated: 
2024-07-27T19:57:14.796Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.797Z [info]: New wallet generated: 
2024-07-27T19:57:14.801Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.802Z [info]: New wallet generated: 
2024-07-27T19:57:14.806Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.807Z [info]: New wallet generated: 
2024-07-27T19:57:14.811Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.812Z [info]: New wallet generated: 
2024-07-27T19:57:14.816Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.817Z [info]: New wallet generated: 
2024-07-27T19:57:14.820Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.821Z [info]: New wallet generated: 
2024-07-27T19:57:14.825Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.826Z [info]: New wallet generated: 
2024-07-27T19:57:14.829Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.830Z [info]: New wallet generated: 
2024-07-27T19:57:14.834Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.835Z [info]: New wallet generated: 
2024-07-27T19:57:14.838Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.839Z [info]: New wallet generated: 
2024-07-27T19:57:14.844Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.845Z [info]: New wallet generated: 
2024-07-27T19:57:14.848Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.849Z [info]: New wallet generated: 
2024-07-27T19:57:14.852Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.853Z [info]: New wallet generated: 
2024-07-27T19:57:14.857Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.858Z [info]: New wallet generated: 
2024-07-27T19:57:14.862Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.863Z [info]: New wallet generated: 
2024-07-27T19:57:14.866Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.868Z [info]: New wallet generated: 
2024-07-27T19:57:14.871Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.872Z [info]: New wallet generated: 
2024-07-27T19:57:14.876Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.877Z [info]: New wallet generated: 
2024-07-27T19:57:14.880Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.881Z [info]: New wallet generated: 
2024-07-27T19:57:14.885Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.886Z [info]: New wallet generated: 
2024-07-27T19:57:14.890Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.891Z [info]: New wallet generated: 
2024-07-27T19:57:14.895Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.896Z [info]: New wallet generated: 
2024-07-27T19:57:14.899Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.900Z [info]: New wallet generated: 
2024-07-27T19:57:14.904Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.905Z [info]: New wallet generated: 
2024-07-27T19:57:14.909Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.910Z [info]: New wallet generated: 
2024-07-27T19:57:14.913Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.915Z [info]: New wallet generated: 
2024-07-27T19:57:14.918Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.920Z [info]: New wallet generated: 
2024-07-27T19:57:14.923Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.924Z [info]: New wallet generated: 
2024-07-27T19:57:14.928Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.929Z [info]: New wallet generated: 
2024-07-27T19:57:14.932Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.933Z [info]: New wallet generated: 
2024-07-27T19:57:14.936Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.937Z [info]: New wallet generated: 
2024-07-27T19:57:14.941Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.942Z [info]: New wallet generated: 
2024-07-27T19:57:14.945Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.946Z [info]: New wallet generated: 
2024-07-27T19:57:14.950Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.951Z [info]: New wallet generated: 
2024-07-27T19:57:14.954Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.955Z [info]: New wallet generated: 
2024-07-27T19:57:14.959Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.959Z [info]: New wallet generated: 
2024-07-27T19:57:14.963Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.963Z [info]: New wallet generated: 
2024-07-27T19:57:14.966Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.967Z [info]: New wallet generated: 
2024-07-27T19:57:14.970Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.971Z [info]: New wallet generated: 
2024-07-27T19:57:14.975Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.976Z [info]: New wallet generated: 
2024-07-27T19:57:14.979Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.980Z [info]: New wallet generated: 
2024-07-27T19:57:14.983Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.984Z [info]: New wallet generated: 
2024-07-27T19:57:14.987Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.988Z [info]: New wallet generated: 
2024-07-27T19:57:14.991Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.992Z [info]: New wallet generated: 
2024-07-27T19:57:14.996Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:14.996Z [info]: New wallet generated: 
2024-07-27T19:57:15.000Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:15.000Z [info]: New wallet generated: 
2024-07-27T19:57:15.004Z [info]: Wallet inserted successfully: 
2024-07-27T19:57:30.073Z [info]: Now closing. Database Synced
